config,freq_hz,sinc_dbfs,filt_dbfs,gain_db
lpf,18.555,-39.187,-38.861,0.326
lpf,20.996,-39.191,-38.983,0.208
lpf,23.438,-39.196,-39.111,0.084
lpf,25.879,-39.201,-39.244,-0.043
lpf,28.809,-39.208,-39.405,-0.198
lpf,32.227,-39.217,-39.589,-0.372
lpf,36.133,-39.228,-39.782,-0.554
lpf,40.527,-39.243,-39.964,-0.721
lpf,45.410,-39.261,-40.102,-0.842
lpf,50.781,-39.283,-40.162,-0.880
lpf,56.641,-39.310,-40.110,-0.800
lpf,63.477,-39.345,-39.913,-0.568
lpf,70.801,-39.387,-39.593,-0.206
lpf,79.102,-39.441,-39.201,0.240
lpf,88.379,-39.508,-38.869,0.639
lpf,98.633,-39.590,-38.792,0.798
lpf,110.352,-39.696,-39.230,0.467
lpf,123.535,-39.830,-40.525,-0.695
lpf,138.184,-39.996,-43.077,-3.081
lpf,154.297,-40.201,-47.365,-7.164
lpf,172.363,-40.458,-54.246,-13.788
lpf,192.871,-40.786,-65.266,-24.479
lpf,215.820,-41.200,-83.314,-42.114
lpf,241.211,-41.715,-118.461,-76.745
lpf,269.531,-42.364,-141.194,-98.830
lpf,301.270,-43.186,-148.703,-105.518
lpf,336.426,-44.218,-141.706,-97.488
lpf,376.465,-45.558,-153.754,-108.196
lpf,420.410,-47.244,-163.825,-116.581
lpf,470.215,-49.452,-160.395,-110.943
hpf_notch,3.906,-39.173,-60.534,-21.362
hpf_notch,4.395,-39.173,-59.521,-20.348
hpf_notch,4.883,-39.173,-58.604,-19.430
hpf_notch,5.371,-39.173,-57.797,-18.624
hpf_notch,5.859,-39.174,-57.032,-17.859
hpf_notch,6.836,-39.174,-55.737,-16.562
hpf_notch,7.812,-39.175,-54.593,-15.419
hpf_notch,8.301,-39.175,-54.095,-14.920
hpf_notch,9.766,-39.176,-52.736,-13.560
hpf_notch,10.742,-39.177,-51.937,-12.760
hpf_notch,11.719,-39.178,-51.233,-12.055
hpf_notch,13.184,-39.180,-50.283,-11.103
hpf_notch,14.648,-39.181,-49.444,-10.263
hpf_notch,16.602,-39.184,-48.468,-9.284
hpf_notch,18.555,-39.187,-47.636,-8.449
hpf_notch,20.996,-39.191,-46.729,-7.538
hpf_notch,23.438,-39.196,-45.965,-6.769
hpf_notch,25.879,-39.201,-45.303,-6.103
hpf_notch,28.809,-39.208,-44.617,-5.409
hpf_notch,32.227,-39.217,-43.951,-4.734
hpf_notch,36.133,-39.228,-43.323,-4.095
hpf_notch,40.527,-39.243,-42.760,-3.517
hpf_notch,45.410,-39.261,-42.295,-3.034
hpf_notch,50.781,-39.283,-96.580,-57.297
hpf_notch,56.641,-39.310,-41.440,-2.130
hpf_notch,63.477,-39.345,-41.103,-1.758
hpf_notch,70.801,-39.387,-40.846,-1.458
hpf_notch,79.102,-39.441,-40.638,-1.197
hpf_notch,88.379,-39.508,-40.482,-0.974
hpf_notch,98.633,-39.590,-40.378,-0.788
hpf_notch,110.352,-39.696,-40.328,-0.631
hpf_notch,123.535,-39.830,-40.330,-0.501
hpf_notch,138.184,-39.996,-40.389,-0.394
hpf_notch,154.297,-40.201,-40.509,-0.309
hpf_notch,172.363,-40.458,-40.697,-0.239
hpf_notch,192.871,-40.786,-40.968,-0.181
hpf_notch,215.820,-41.200,-41.334,-0.134
hpf_notch,241.211,-41.715,-41.813,-0.098
hpf_notch,269.531,-42.364,-42.433,-0.069
hpf_notch,301.270,-43.186,-43.231,-0.046
hpf_notch,336.426,-44.218,-44.246,-0.028
hpf_notch,376.465,-45.558,-45.573,-0.015
hpf_notch,420.410,-47.244,-47.250,-0.005
hpf_notch,470.215,-49.452,-49.454,-0.001
hpf_lpf,3.906,-39.173,-59.748,-20.575
hpf_lpf,4.395,-39.173,-58.739,-19.566
hpf_lpf,4.883,-39.173,-57.840,-18.667
hpf_lpf,5.371,-39.173,-57.030,-17.857
hpf_lpf,5.859,-39.174,-56.294,-17.120
hpf_lpf,6.836,-39.174,-54.999,-15.825
hpf_lpf,7.812,-39.175,-53.889,-14.715
hpf_lpf,8.301,-39.175,-53.390,-14.215
hpf_lpf,9.766,-39.176,-52.071,-12.895
hpf_lpf,10.742,-39.177,-51.312,-12.135
hpf_lpf,11.719,-39.178,-50.631,-11.453
hpf_lpf,13.184,-39.180,-49.730,-10.551
hpf_lpf,14.648,-39.181,-48.950,-9.768
hpf_lpf,16.602,-39.184,-48.059,-8.875
hpf_lpf,18.555,-39.187,-47.307,-8.120
hpf_lpf,20.996,-39.191,-46.524,-7.333
hpf_lpf,23.438,-39.196,-45.879,-6.683
hpf_lpf,25.879,-39.201,-45.344,-6.143
hpf_lpf,28.809,-39.208,-44.819,-5.611
hpf_lpf,32.227,-39.217,-44.327,-5.111
hpf_lpf,36.133,-39.228,-43.882,-4.654
hpf_lpf,40.527,-39.243,-43.476,-4.234
hpf_lpf,45.410,-39.261,-43.089,-3.829
hpf_lpf,50.781,-39.283,-42.687,-3.404
hpf_lpf,56.641,-39.310,-42.235,-2.925
hpf_lpf,63.477,-39.345,-41.672,-2.327
hpf_lpf,70.801,-39.387,-41.051,-1.664
hpf_lpf,79.102,-39.441,-40.397,-0.956
hpf_lpf,88.379,-39.508,-39.843,-0.335
hpf_lpf,98.633,-39.590,-39.580,0.010
hpf_lpf,110.352,-39.696,-39.861,-0.164
hpf_lpf,123.535,-39.830,-41.025,-1.196
hpf_lpf,138.184,-39.996,-43.471,-3.475
hpf_lpf,154.297,-40.201,-47.673,-7.473
hpf_lpf,172.363,-40.458,-54.485,-14.027
hpf_lpf,192.871,-40.786,-65.446,-24.660
hpf_lpf,215.820,-41.200,-83.449,-42.249
hpf_lpf,241.211,-41.715,-118.545,-76.830
hpf_lpf,269.531,-42.364,-141.380,-99.016
hpf_lpf,301.270,-43.186,-149.451,-106.265
hpf_lpf,336.426,-44.218,-141.914,-97.696
